patient0,patient1,patient2,patient3,patient4,patient5,patient6,patient7,patient8,patient9,patient10,patient11,patient12,patient13,patient14,patient15,patient16,patient17,patient18,patient19,patient20,patient21,patient22,patient23,patient24,patient25,patient26,patient27,patient28,patient29,patient30,patient31,patient32,patient33,patient34,patient35,patient36,patient37,patient38,patient39
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9904360593979371,0.9501266895940738,0.9885847465532215,0.929955671473842,0.9759837151133621,0.9899876453654656,0.9408336264000448,0.9611754223332907,0.947718480929439,0.9512866467213195,0.9923261465293246,0.9904612041495247,0.9679705583196248,0.9571142313619296,0.9571142313619296,0.985155451445383,0.9749704994239544,0.9721072262482949,0.9560099628219068,0.9922283514851814,0.9681720113194509,0.9639585066220013,0.9836421527575646,0.9764417404022953,0.9822184053812615,0.9841599681871477,0.9914491759569234,0.9825329507420502,0.9702679041721795,0.9507987639399346,0.9853567788789602,0.9735922637544133,0.9902996205416449,0.9628409193342863,0.9746160014853692,0.9797453579001252,0.9802764377960265,0.9831913129353512,0.9877046716950194,0.9713239876567372
0.9678023778488046,0.8874586265529193,0.9585222146429956,0.8203708404101532,0.9336521138439088,0.9639514747710061,0.8441540767937832,0.8965452584024441,0.8740745868247495,0.8897163862454918,0.9704514089010614,0.9633580094867824,0.9214502988338876,0.8702759629960788,0.8702759629960788,0.9562698650105024,0.9281519216571958,0.9272021105993663,0.8776580592521654,0.9745783838225396,0.913753488994216,0.8788475030144862,0.9407878521834906,0.9201221165978029,0.9337417933550882,0.945358891730391,0.9683634939553112,0.9493249182042625,0.9017622806655168,0.889075177814916,0.9462675590192245,0.9071316965278422,0.9671332592005867,0.9112083473021008,0.9269443256985491,0.9425259188640378,0.9386631754584231,0.9372684162856566,0.9530880825088058,0.9315745036922282
0.9349207277437386,0.8179560046462454,0.9153724647924986,0.6869768081013881,0.8807473223472678,0.926284022066464,0.7185486101238567,0.8119631140344816,0.7908365020207867,0.8193790644163284,0.9355696810247871,0.9207539276628259,0.8658176172037291,0.7497328265710668,0.7497328265710668,0.9189432445533727,0.8646157034317683,0.8704580971003136,0.7826429263662396,0.9473245003576592,0.8414195969924894,0.7552675994189559,0.8774489095922169,0.8433071851535022,0.8614533890111951,0.8879756595017975,0.9362766948439672,0.90265745814208,0.8026943075256006,0.8219490787841218,0.8881275640140573,0.8084371364909549,0.9327660242071113,0.8509276233012897,0.8637764272196377,0.8954976183099506,0.882462334178617,0.8707609848118356,0.9014846599812898,0.8866063629392292
0.8955983644502375,0.7475908013993308,0.8650949472479008,0.5466932407213236,0.8243451227626925,0.8817584480896971,0.5810161164892162,0.7146983753254454,0.7089237821689995,0.7424778157699843,0.889526596608577,0.8653518981188604,0.8063543741638507,0.6091033999833705,0.6091033999833705,0.8783285099627778,0.7883008550792682,0.8046592276118979,0.6849333841563668,0.9124858841504117,0.7549872377712175,0.6079382579343912,0.7998133622902666,0.7594854760262284,0.7737919598011129,0.8177745956704237,0.9005647803707342,0.8453676660192907,0.6836564228577455,0.7528751229606919,0.8166247496216171,0.6888615277599255,0.889477506372635,0.7870295656958258,0.7921943199012006,0.8451110776196437,0.8214072894103767,0.7929393178420782,0.8392210598981805,0.8415373349684147
0.8532610499777301,0.6805785613396345,0.8127013716960719,0.41234803710085416,0.7695879708440466,0.8346980977819883,0.44280051920307767,0.6116204418096829,0.6356716593071357,0.6622633020649988,0.8342028365230822,0.8002658636877144,0.7472348730233201,0.46197773805029146,0.46197773805029146,0.8383586508684111,0.7037501270812024,0.7334008709744406,0.5947784160060245,0.8728434113557894,0.658155287578051,0.4514855962439421,0.7133749264565087,0.6797046498824962,0.6786979958350915,0.7403131336490462,0.8645056255627863,0.7819162811829928,0.5541885096127682,0.684805353158471,0.7382245122742289,0.5599492942138984,0.839760289219287,0.7233129330857363,0.7180576886590713,0.7963845221252395,0.7617643921449894,0.7108907782656048,0.7722019127696437,0.7984031939310895
0.810393277459229,0.6186694482514179,0.7614137894272053,0.2893591705423692,0.7184425694792687,0.7881374028153366,0.31381173545000235,0.5077110927977374,0.5729902648798243,0.5826938177859495,0.7714341905694115,0.7286039555248898,0.691118421989344,0.3199497462726652,0.3199497462726652,0.8008158556090894,0.61497478722522,0.6597887879395055,0.515163099460569,0.8288801668643284,0.5541860494850847,0.29837191290782245,0.6223969029417502,0.6102945874077147,0.5825045093450956,0.660990807728417,0.8286594846744791,0.7155321885524742,0.4216540557451403,0.6194250568992421,0.6594114779742493,0.43182412370416456,0.7859202904787324,0.6614053725304873,0.6450977807849785,0.7520717074146106,0.706182552033906,0.6284089007601449,0.7051349257952144,0.7563017553444805
0.7683576609608048,0.5619913466213172,0.7122662363231647,0.18012880302522993,0.670409554415414,0.7432637423964112,0.2022773206248843,0.40665637045059594,0.5189664861935606,0.5074864345749152,0.702952279555466,0.6531020307302986,0.6374924438822852,0.1918766787094779,0.1918766787094779,0.7656606338511339,0.5250849515342885,0.5877350078036302,0.44303019693790496,0.7825272969152719,0.44725279933936996,0.15817879526835088,0.5296716836460849,0.5527146275058507,0.48914631713644713,0.584994376112294,0.7912747895920046,0.6484176863750853,0.291455193539123,0.5576719980668788,0.5853598948723385,0.31252344030419527,0.7298113980993554,0.6017809098630692,0.5754225381639569,0.7118301931539058,0.6553029124414256,0.5466225813943254,0.6411993106043488,0.7143137636033458
0.7275137639227206,0.5090502137270712,0.6647108277053438,0.08365135343479796,0.6232329374770038,0.6998804198684327,0.1134374256177301,0.3115468231949613,0.46898042068564955,0.4404405628430018,0.6302234979451978,0.576063477915147,0.5843935054303632,0.08394681880033193,0.08394681880033193,0.7315265862552992,0.43816160881997884,0.520439139153534,0.3731513804729555,0.7343697069901112,0.34016434323551664,0.03776775111056528,0.4370815143589989,0.5039041541579637,0.3999768277985291,0.516747543639001,0.7495727625146816,0.5821744574124356,0.16771239863578694,0.49973239521685164,0.5189135124534421,0.20798509765396714,0.672843819753258,0.5437830205082334,0.509868581214158,0.6735484645827661,0.6080524474132226,0.46517831103571444,0.5821276584286552,0.6718926318048989
0.6875242333440131,0.4592535791046949,0.6179470921953437,0.00025908533810013783,0.5750168692014042,0.6575524395541514,0.049039493082191146,0.22483450090361126,0.4197160423271431,0.3833865279826858,0.5544860053160583,0.4995530977515364,0.5315312342200621,0.00012077173715126734,0.00012077173715126734,0.6970831060137324,0.3571221352547087,0.4589963559023696,0.30317243606538796,0.6859714832353642,0.2352868622372988,-0.05818346411714654,0.3459755891835936,0.4585128608267689,0.3148759368182462,0.45956611145057813,0.7013768822721898,0.5181408239126013,0.05371981480340707,0.44510136385065274,0.46109051100320636,0.12234844344595766,0.6160227038827828,0.48719189960275844,0.44940416473475414,0.6361699511898529,0.5630719592843918,0.38315170386234976,0.5287504834797422,0.6287715748058679
